|w1       | w2     | bias   | X1     | X2     | alpha     | y     | label     |eta*(label-y)| dw1  |dw2     | dtheta  | 
|17.86049 | 26.43768 | -34.88965 |     1 |     0 | 0.00000 | 0.00049 |     0 |  -0.00732 |     1 |     0 | 1.00000 |
|17.85317 | 26.43768 | -34.89698 |     0 |     1 | 0.00000 | 0.00000 |     0 |  -0.00000 |     0 |     1 | 1.00000 |
|17.85317 | 26.43768 | -34.89698 |     0 |     0 | 0.00000 | 0.00000 |     0 |  -0.00000 |     0 |     0 | 1.00000 |
|17.85317 | 26.43768 | -34.89698 |     1 |     1 | 0.00000 | 0.99992 |     1 |  0.00125 |     1 |     1 | 1.00000 |
|17.85442 | 26.43893 | -34.89573 |     1 |     0 | 0.00000 | 0.00048 |     0 |  -0.00716 |     1 |     0 | 1.00000 |
|17.84726 | 26.43893 | -34.90289 |     0 |     1 | 0.00000 | 0.00000 |     0 |  -0.00000 |     0 |     1 | 1.00000 |
|17.84726 | 26.43892 | -34.90289 |     0 |     0 | 0.00000 | 0.00000 |     0 |  -0.00000 |     0 |     0 | 1.00000 |
|17.84726 | 26.43892 | -34.90289 |     1 |     1 | 0.00000 | 0.99992 |     1 |  0.00126 |     1 |     1 | 1.00000 |
|17.84852 | 26.44019 | -34.90162 |     1 |     0 | 0.00000 | 0.00047 |     0 |  -0.00700 |     1 |     0 | 1.00000 |
|17.84152 | 26.44019 | -34.90862 |     0 |     1 | 0.00000 | 0.00000 |     0 |  -0.00000 |     0 |     1 | 1.00000 |
|17.84152 | 26.44018 | -34.90862 |     0 |     0 | 0.00000 | 0.00000 |     0 |  -0.00000 |     0 |     0 | 1.00000 |
|17.84152 | 26.44018 | -34.90862 |     1 |     1 | 0.00000 | 0.99992 |     1 |  0.00127 |     1 |     1 | 1.00000 |
|17.84280 | 26.44146 | -34.90734 |     1 |     0 | 0.00000 | 0.00046 |     0 |  -0.00685 |     1 |     0 | 1.00000 |
|17.83595 | 26.44146 | -34.91419 |     0 |     1 | 0.00000 | 0.00000 |     0 |  -0.00000 |     0 |     1 | 1.00000 |
|17.83595 | 26.44146 | -34.91419 |     0 |     0 | 0.00000 | 0.00000 |     0 |  -0.00000 |     0 |     0 | 1.00000 |
|17.83595 | 26.44146 | -34.91419 |     1 |     1 | 0.00000 | 0.99991 |     1 |  0.00129 |     1 |     1 | 1.00000 |
|17.83724 | 26.44274 | -34.91290 |     1 |     0 | 0.00000 | 0.00045 |     0 |  -0.00671 |     1 |     0 | 1.00000 |
|17.83053 | 26.44274 | -34.91961 |     0 |     1 | 0.00000 | 0.00000 |     0 |  -0.00000 |     0 |     1 | 1.00000 |
|17.83053 | 26.44274 | -34.91961 |     0 |     0 | 0.00000 | 0.00000 |     0 |  -0.00000 |     0 |     0 | 1.00000 |
|17.83053 | 26.44274 | -34.91961 |     1 |     1 | 0.00000 | 0.99991 |     1 |  0.00130 |     1 |     1 | 1.00000 |
|17.83183 | 26.44404 | -34.91831 |     1 |     0 | 0.00000 | 0.00044 |     0 |  -0.00657 |     1 |     0 | 1.00000 |
|17.82526 | 26.44404 | -34.92488 |     0 |     1 | 0.00000 | 0.00000 |     0 |  -0.00000 |     0 |     1 | 1.00000 |
|17.82526 | 26.44404 | -34.92488 |     0 |     0 | 0.00000 | 0.00000 |     0 |  -0.00000 |     0 |     0 | 1.00000 |
|17.82526 | 26.44404 | -34.92488 |     1 |     1 | 0.00000 | 0.99991 |     1 |  0.00131 |     1 |     1 | 1.00000 |
|17.82657 | 26.44535 | -34.92356 |     1 |     0 | 0.00000 | 0.00043 |     0 |  -0.00644 |     1 |     0 | 1.00000 |
|17.82013 | 26.44535 | -34.93001 |     0 |     1 | 0.00000 | 0.00000 |     0 |  -0.00000 |     0 |     1 | 1.00000 |
|17.82013 | 26.44535 | -34.93001 |     0 |     0 | 0.00000 | 0.00000 |     0 |  -0.00000 |     0 |     0 | 1.00000 |
|17.82013 | 26.44535 | -34.93001 |     1 |     1 | 0.00000 | 0.99991 |     1 |  0.00132 |     1 |     1 | 1.00000 |
|17.82146 | 26.44667 | -34.92868 |     1 |     0 | 0.00000 | 0.00042 |     0 |  -0.00632 |     1 |     0 | 1.00000 |
|17.81514 | 26.44667 | -34.93501 |     0 |     1 | 0.00000 | 0.00000 |     0 |  -0.00000 |     0 |     1 | 1.00000 |
|17.81514 | 26.44667 | -34.93501 |     0 |     0 | 0.00000 | 0.00000 |     0 |  -0.00000 |     0 |     0 | 1.00000 |
|17.81514 | 26.44667 | -34.93501 |     1 |     1 | 0.00000 | 0.99991 |     1 |  0.00133 |     1 |     1 | 1.00000 |
|17.81647 | 26.44801 | -34.93367 |     1 |     0 | 0.00000 | 0.00041 |     0 |  -0.00620 |     1 |     0 | 1.00000 |
|17.81027 | 26.44801 | -34.93987 |     0 |     1 | 0.00000 | 0.00000 |     0 |  -0.00000 |     0 |     1 | 1.00000 |
|17.81027 | 26.44801 | -34.93987 |     0 |     0 | 0.00000 | 0.00000 |     0 |  -0.00000 |     0 |     0 | 1.00000 |
|17.81027 | 26.44801 | -34.93987 |     1 |     1 | 0.00000 | 0.99991 |     1 |  0.00135 |     1 |     1 | 1.00000 |
|17.81161 | 26.44935 | -34.93853 |     1 |     0 | 0.00000 | 0.00041 |     0 |  -0.00609 |     1 |     0 | 1.00000 |
|17.80552 | 26.44935 | -34.94462 |     0 |     1 | 0.00000 | 0.00000 |     0 |  -0.00000 |     0 |     1 | 1.00000 |
|17.80552 | 26.44935 | -34.94462 |     0 |     0 | 0.00000 | 0.00000 |     0 |  -0.00000 |     0 |     0 | 1.00000 |
|17.80552 | 26.44935 | -34.94462 |     1 |     1 | 0.00000 | 0.99991 |     1 |  0.00136 |     1 |     1 | 1.00000 |
|17.80688 | 26.45071 | -34.94326 |     1 |     0 | 0.00000 | 0.00040 |     0 |  -0.00599 |     1 |     0 | 1.00000 |
|17.80090 | 26.45071 | -34.94925 |     0 |     1 | 0.00000 | 0.00000 |     0 |  -0.00000 |     0 |     1 | 1.00000 |
|17.80090 | 26.45071 | -34.94925 |     0 |     0 | 0.00000 | 0.00000 |     0 |  -0.00000 |     0 |     0 | 1.00000 |
|17.80090 | 26.45071 | -34.94925 |     1 |     1 | 0.00000 | 0.99991 |     1 |  0.00137 |     1 |     1 | 1.00000 |
|17.80226 | 26.45207 | -34.94788 |     1 |     0 | 0.00000 | 0.00039 |     0 |  -0.00588 |     1 |     0 | 1.00000 |
|17.79638 | 26.45207 | -34.95376 |     0 |     1 | 0.00000 | 0.00000 |     0 |  -0.00000 |     0 |     1 | 1.00000 |
|17.79638 | 26.45207 | -34.95376 |     0 |     0 | 0.00000 | 0.00000 |     0 |  -0.00000 |     0 |     0 | 1.00000 |
|17.79638 | 26.45207 | -34.95376 |     1 |     1 | 0.00000 | 0.99991 |     1 |  0.00138 |     1 |     1 | 1.00000 |
|17.79776 | 26.45345 | -34.95238 |     1 |     0 | 0.00000 | 0.00039 |     0 |  -0.00579 |     1 |     0 | 1.00000 |
|17.79197 | 26.45345 | -34.95817 |     0 |     1 | 0.00000 | 0.00000 |     0 |  -0.00000 |     0 |     1 | 1.00000 |
|17.79197 | 26.45345 | -34.95817 |     0 |     0 | 0.00000 | 0.00000 |     0 |  -0.00000 |     0 |     0 | 1.00000 |
|17.79197 | 26.45345 | -34.95817 |     1 |     1 | 0.00000 | 0.99991 |     1 |  0.00139 |     1 |     1 | 1.00000 |
|17.79336 | 26.45484 | -34.95678 |     1 |     0 | 0.00000 | 0.00038 |     0 |  -0.00569 |     1 |     0 | 1.00000 |
|17.78767 | 26.45484 | -34.96247 |     0 |     1 | 0.00000 | 0.00000 |     0 |  -0.00000 |     0 |     1 | 1.00000 |
|17.78767 | 26.45484 | -34.96247 |     0 |     0 | 0.00000 | 0.00000 |     0 |  -0.00000 |     0 |     0 | 1.00000 |
